,Hotel Name,Hotel City,Hotel Country,Hotel Phone,Hotel Website,Hotel Email,Hotel Latitude,Hotel Longitude,Weather,City_Id,Temperature
26,SUN1 Richards Bay,Richards Bay,South Africa,+27 35 789 1001,https://www.southernsun.com/sun1-richards-bay?utm_source=openstreetmaps&utm_medium=businesslisting&utm_campaign=hotel_sun1-richards-bay,https://www.southernsun.com/sun1-richards-bay?utm_source=openstreetmaps&utm_medium=businesslisting&utm_campaign=hotel_sun1-richards-bay,-28.7521816,32.05550557288396,few clouds,78,63.32
27,Marriott Downtown Abu-Dhabi,Abu Dhabi,United Arab Emirates,phone not provided,website not provided,email not provided,24.4702212,54.3700323,clear sky,86,69.82
28,Hotel Al Rawda Arjan by Rotana,Abu Dhabi,United Arab Emirates,phone not provided,website not provided,email not provided,24.4689949,54.37251895776906,clear sky,86,69.82
29,Ήφαιστος,Myrina,Greece,phone not provided,website not provided,email not provided,39.8838567,25.065864087656177,clear sky,92,59.85
30,Artemis,Myrina,Greece,+30 22540 24075,https://www.artemis-lemnos.gr,https://www.artemis-lemnos.gr,39.884865,25.0662633,clear sky,92,59.85
31,DoubleTree Jamestown,Jamestown,United States,phone not provided,website not provided,email not provided,42.097220699999994,-79.24356553560622,overcast clouds,95,51.39
32,La Quinta Inn & Suites by Wyndham Jamestown,Jamestown,United States,phone not provided,website not provided,email not provided,42.0960503,-79.2442129,overcast clouds,95,51.39
33,Waterford Hotel,Gqeberha,South Africa,phone not provided,website not provided,email not provided,-33.9320089,25.5777512,few clouds,97,68.09
34,Newtondale,Gqeberha,South Africa,phone not provided,website not provided,email not provided,-33.949723,25.561134946571073,few clouds,97,68.09
35,Ibis Hotel,Valparaíso,Chile,phone not provided,website not provided,email not provided,-33.0390592,-71.6266727,clear sky,100,64.63
36,Hotel Reina Victoria,Valparaíso,Chile,phone not provided,website not provided,email not provided,-33.03813675,-71.62901437234433,clear sky,100,64.63
37,Hampton Inn & Suites,Patterson,United States,phone not provided,website not provided,email not provided,37.4651402,-121.1669681873876,overcast clouds,103,61.03
38,Best Western,Gustine,United States,phone not provided,website not provided,email not provided,37.1100583,-121.01726485,overcast clouds,103,61.03
39,hotel Isidora,Tocopilla,Chile,+56552811518,http://discarrasco.wix.com/isidora,http://discarrasco.wix.com/isidora,-22.0913503,-70.2001845,overcast clouds,104,69.49
40,Hotel Galvarino,Tocopilla,Chile,phone not provided,website not provided,email not provided,-22.08959315,-70.19594272625335,overcast clouds,104,69.49
41,Hospedaria JSF,Horta,Portugal,phone not provided,website not provided,email not provided,38.5301319,-28.632987399999998,broken clouds,106,55.78
42,Azoris Faial Garden - Resort Hotel,Horta,Portugal,+351292207400,https://www.azorishotels.com/faialgarden/hotel,https://www.azorishotels.com/faialgarden/hotel,38.53153925,-28.62963098004333,broken clouds,106,55.78
43,Victoria Hotel,Cape Agulhas Local Municipality,South Africa,+27 28 4241159,http://www.victoriahotelbdorp.co.za/,http://www.victoriahotelbdorp.co.za/,-34.5339684,20.0395361,overcast clouds,109,66.02
44,Napier Hotel,Cape Agulhas Local Municipality,South Africa,phone not provided,website not provided,email not provided,-34.473488,19.900201967511016,overcast clouds,109,66.02
45,Aliwen,Quellón,Chile,phone not provided,website not provided,email not provided,-43.1176059,-73.6127065,scattered clouds,117,57.04
46,El Chico Leo,Quellón,Chile,652681567,website not provided,email not provided,-43.1206696,-73.6175803,scattered clouds,117,57.04
47,شقق فندقية,As Sayh,Saudi Arabia,phone not provided,website not provided,email not provided,24.1703819,47.3441768,scattered clouds,119,64.81
48,Mariner Days Inn & Suites,Kill Devil Hills,United States,phone not provided,website not provided,email not provided,36.03530595,-75.67099065035967,light intensity drizzle,122,62.6
49,Mariner Days Inn & Suites,Kill Devil Hills,United States,phone not provided,website not provided,email not provided,36.03510685,-75.6697080568667,light intensity drizzle,122,62.6
50,Margaret River Hotel,Margaret River,Australia,+61 8 9757 2655,https://margaretriverhotel.com.au/,https://margaretriverhotel.com.au/,-33.9513065,115.073957,few clouds,123,63.0
51,Quality Inn Margaret River,Margaret River,Australia,+61 8 9757 2633,https://www.staymargaretriver.com.au/,https://www.staymargaretriver.com.au/,-33.954336600000005,115.0591582508016,few clouds,123,63.0
52,لازورد,Hermel,Lebanon,phone not provided,website not provided,email not provided,34.4137474,36.3920935,scattered clouds,125,51.73
53,فندق حمص الكبير,Homs,Syria,phone not provided,website not provided,email not provided,34.7130164,36.7127759,scattered clouds,125,51.73
54,Hotel Way Wait,Palanpur,India,phone not provided,website not provided,email not provided,24.17334275,72.41622661906919,broken clouds,127,63.32
55,Hotel Lajwanti,Palanpur,India,phone not provided,website not provided,email not provided,24.1740297,72.41650958335657,broken clouds,127,63.32
56,Hotel Lajwanti,East London,South Africa,phone not provided,website not provided,email not provided,-33.0185052,27.9137962,light rain,130,64.89
57,Majestic Boutique Hotel,East London,South Africa,phone not provided,website not provided,email not provided,-33.0215508,27.9132492,light rain,130,64.89
58,Hotel Talisman,Ponta Delgada,Portugal,phone not provided,http://www.hoteltalisman.com/,http://www.hoteltalisman.com/,37.7391291,-25.67229818198271,broken clouds,133,54.32
59,Hotel Avenida,Ponta Delgada,Portugal,phone not provided,website not provided,email not provided,37.74051495,-25.665621891620468,broken clouds,133,54.32
60,Hotel Santa Cruz,Vallegrande,Bolivia,phone not provided,website not provided,email not provided,-18.4902782,-64.1060254,broken clouds,138,61.57
61,Hotel Solar,Vallegrande,Bolivia,phone not provided,website not provided,email not provided,-18.4875009,-64.1063824,broken clouds,138,61.57
62,Landmark Inn,Fort Irwin,United States,phone not provided,website not provided,email not provided,35.2602341,-116.69093379088957,overcast clouds,145,57.63
63,Imful,Tengeru,Tanzania,phone not provided,website not provided,email not provided,-3.3507937,36.7978476,broken clouds,151,59.68
64,Ngare Sero Mountain Retreat,Usa River,Tanzania,phone not provided,website not provided,email not provided,-3.3591227,36.8368804,broken clouds,151,59.68
65,Hotel Chik Chik Namibe,Moçâmedes,Angola,phone not provided,website not provided,email not provided,-15.19542205,12.146870890168739,broken clouds,153,68.81
66,iu Hotel,Moçâmedes,Angola,phone not provided,website not provided,email not provided,-15.19083975,12.151207577555638,broken clouds,153,68.81
67,Shyam,Veraval,India,phone not provided,website not provided,email not provided,20.9119895,70.3621212,broken clouds,154,71.19
68,Shri Radhe,Veraval,India,phone not provided,website not provided,email not provided,20.888574,70.4030013,broken clouds,154,71.19
69,Salles,Praia da Vitória,Portugal,phone not provided,website not provided,email not provided,38.7313735,-27.0603219,few clouds,155,53.76
70,Hotel Varandas do Atlântico,Praia da Vitória,Portugal,+351 295 540 050,website not provided,email not provided,38.73127565,-27.059438024832694,few clouds,155,53.76
71,Copthorne Hotel Solway Park,Masterton,New Zealand,phone not provided,website not provided,email not provided,-40.96078835,175.62115183428006,overcast clouds,160,68.02
72,Copthorne Hotel Solway Park,Masterton,New Zealand,phone not provided,website not provided,email not provided,-40.9620655,175.61649551388817,overcast clouds,160,68.02
73,Hotel Nelly,São Gabriel,Brazil,phone not provided,website not provided,email not provided,-30.337321199999998,-54.32040495,few clouds,163,66.97
74,Hotel Caçula,São Gabriel,Brazil,phone not provided,website not provided,email not provided,-30.3354439,-54.31945155275179,few clouds,163,66.97
75,Gardenia Hotel,Lazzàro,Italy,+39 0965 712191,https://gardeniahotelrc.it/,https://gardeniahotelrc.it/,37.9649154,15.669999,overcast clouds,165,58.89
76,Gardenia Hotel,Bova Marina,Italy,phone not provided,website not provided,email not provided,37.9301263,15.918974796126761,overcast clouds,165,58.89
77,Boston Hotel,Port Lincoln,Australia,phone not provided,website not provided,email not provided,-34.7223599,135.8655108507955,broken clouds,172,67.57
78,Grand Tasman,Port Lincoln,Australia,phone not provided,www.grandtasmanhotel.com.au,www.grandtasmanhotel.com.au,-34.7213011,135.8609653,broken clouds,172,67.57
79,Royal Indu Hotel,Gaur,Nepal,9865014303,website not provided,email not provided,26.7764081,85.2701168,clear sky,173,59.05
80,"Nepal Lodge, Gaur",Gaur,Nepal,phone not provided,website not provided,email not provided,26.7645777,85.2805229,clear sky,173,59.05
81,Itanos Hotel,Sitia Municipal Unit,Greece,phone not provided,website not provided,email not provided,35.2071081,26.106488761206897,clear sky,179,60.98
82,Sitia Beach,Sitia Municipal Unit,Greece,phone not provided,website not provided,email not provided,35.20355429999999,26.110283913976282,clear sky,179,60.98
83,Sitia Beach,Summerville,United States,phone not provided,website not provided,email not provided,33.0151725,-80.17767426745243,clear sky,183,62.55
84,Comfort Inn,Summerville,United States,phone not provided,website not provided,email not provided,33.036832149999995,-80.1516945,clear sky,183,62.55
85,Plaza sal paraiso,Guerrero Negro,Mexico,phone not provided,website not provided,email not provided,27.9705567,-114.0459381,broken clouds,184,67.06
86,San Luciano,Guerrero Negro,Mexico,phone not provided,website not provided,email not provided,27.9673145,-114.0403582,broken clouds,184,67.06
87,فندق النزل,Sakaka,Saudi Arabia,phone not provided,website not provided,email not provided,29.9598923,40.2047385,scattered clouds,189,52.41
88,sakakah residence,Sakaka,Saudi Arabia,phone not provided,website not provided,email not provided,29.9696226,40.1944749,scattered clouds,189,52.41
89,Hotel Colón,Antofagasta,Chile,phone not provided,website not provided,email not provided,-23.6482961,-70.3993777,broken clouds,191,67.28
90,Ancla Inn,Antofagasta,Chile,phone not provided,website not provided,email not provided,-23.6488658,-70.3980961,broken clouds,191,67.28
91,Hotel Rural Finca San Juan,San Juan de la Rambla,Spain,phone not provided,website not provided,email not provided,28.39044605,-16.643861870936185,broken clouds,193,66.02
92,Hacienda el Terrero,Los Realejos,Spain,phone not provided,website not provided,email not provided,28.3941063,-16.6140637,broken clouds,193,66.02
93,Quality Inn & Suites,Town of Chenango,United States,phone not provided,website not provided,email not provided,42.1507864,-75.89755764653454,light rain,194,50.2
94,Comfort Inn,City of Binghamton,United States,phone not provided,website not provided,email not provided,42.1417249,-75.90312997391305,light rain,194,50.2
95,Comfort Inn,San Juan de Marcona,Peru,phone not provided,website not provided,email not provided,-15.36203395,-75.16388371867006,overcast clouds,195,63.73
96,El Imperial,San Juan de Marcona,Peru,phone not provided,website not provided,email not provided,-15.3622374,-75.16627149339655,overcast clouds,195,63.73
97,Aloe guest house,Overstrand Local Municipality,South Africa,phone not provided,website not provided,email not provided,-34.4192217,19.2345494,overcast clouds,197,65.8
98,Whale Coast Lodge,Overstrand Local Municipality,South Africa,phone not provided,http://www.whalecoastlodge.co.za/,http://www.whalecoastlodge.co.za/,-34.4202811,19.2347891,overcast clouds,197,65.8
99,L'Estuaire,Talmont-sur-Gironde,France,phone not provided,website not provided,email not provided,45.53497625,-0.9023612472091644,light rain,207,50.81
100,L'Estuaire,Talmont-sur-Gironde,France,+33 546904385,https://www.hotellestuaire.com/,https://www.hotellestuaire.com/,45.53486855,-0.9021449206185599,light rain,207,50.81
101,خال رسول,Al-Hirah,Iraq,phone not provided,website not provided,email not provided,31.8816019,44.4777126,moderate rain,208,56.16
102,Residência Ka Dencho,Cova Rodela,Cape Verde,phone not provided,website not provided,email not provided,14.8731745,-24.6987549,overcast clouds,209,71.13
103,Vivi´s Place,Nova Sintra,Cape Verde,00238-994-4033,website not provided,email not provided,14.8706885,-24.6966666,overcast clouds,209,71.13
104,Old Oasis Hotel,Bawiti,Egypt,phone not provided,website not provided,email not provided,28.3536925,28.8646702,clear sky,214,55.96
105,el-Beshmo Lodge,Bawiti,Egypt,phone not provided,website not provided,email not provided,28.35402015,28.86408383398389,clear sky,214,55.96
106,Embassy Suites by Hilton Lompoc Central Coast,Lompoc,United States,805-735-8311,https://www.embassysuiteslompoc.com/,https://www.embassysuiteslompoc.com/,34.655865500000004,-120.45875342880974,scattered clouds,223,65.7
107,Days Inn,Lompoc,United States,phone not provided,website not provided,email not provided,34.65635555,-120.45649554627175,scattered clouds,223,65.7
108,Sunny Hill Center سَنِي هِل سِنْتَر,Arta,Djibouti,+253 27 42 21 30,https://www.sunnyhillcenterarta.com/,https://www.sunnyhillcenterarta.com/,11.524127,42.8383788,broken clouds,225,68.72
109,Hôtel de la Paix فندق السلام,Arta,Djibouti,+253 77 06 85 25,website not provided,email not provided,11.5215739,42.8423905,broken clouds,225,68.72
110,Seaview Hotel Zum Sperrgebiet,Lüderitz,Namibia,phone not provided,website not provided,email not provided,-26.6452054,15.158203,few clouds,228,60.48
111,Kapps Hotel,Lüderitz,Namibia,phone not provided,website not provided,email not provided,-26.6488497,15.1545118,few clouds,228,60.48
112,富華粵海酒店 Fu Hua Guang Dong Hotel,Santo António,China,phone not provided,website not provided,email not provided,22.20242245,113.54696598110834,few clouds,233,67.8
113,新金門賓館 Pensão New Golden Gate,Santo António,China,phone not provided,website not provided,email not provided,22.2047599,113.54695476310111,few clouds,233,67.8
114,Kuryk,Құрық,Kazakhstan,phone not provided,website not provided,email not provided,43.1789774,51.6725699,overcast clouds,237,50.13
115,Hotel Deportivo,Rawson,Argentina,phone not provided,website not provided,email not provided,-43.294811,-65.0823054,broken clouds,241,71.71
116,Hotel Punta León,Rawson,Argentina,phone not provided,website not provided,email not provided,-43.3201518,-65.0487954,broken clouds,241,71.71
117,Amantaka,Luang Prabang,Laos,phone not provided,website not provided,email not provided,19.88569115,102.1345422289832,clear sky,251,55.27
118,Jaliya Guesthouse,Viangxai,Laos,phone not provided,website not provided,email not provided,19.884761349999998,102.13571227418626,clear sky,251,55.27
119,Hotel San Martin,San Juan de los Lagos,Mexico,phone not provided,website not provided,email not provided,21.2427976,-102.331406,clear sky,256,59.38
120,Hotel San Martin,San Juan de los Lagos,Mexico,phone not provided,website not provided,email not provided,21.2468525,-102.3353877,clear sky,256,59.38
121,منتزه و نزل الكاهنة,Hazeg,Tunisia,phone not provided,website not provided,email not provided,35.0200752,11.0060635,clear sky,262,57.7
122,فندق المدينة,Mahdia,Tunisia,phone not provided,website not provided,email not provided,35.5037452,11.0699374,clear sky,262,57.7
123,Tropic Hotel,Saint-Pierre,France,phone not provided,website not provided,email not provided,-21.341993,55.4785199,clear sky,263,71.56
124,Saint-Pierre,Saint-Pierre,France,phone not provided,https://www.hotellesaintpierre.fr/,https://www.hotellesaintpierre.fr/,-21.3413402,55.4742003,clear sky,263,71.56
125,Best Western Plus,Corpus Christi,United States,phone not provided,website not provided,email not provided,27.84915815,-97.57237429852637,few clouds,276,69.69
126,La Quinta Inn & Suites,Corpus Christi,United States,phone not provided,website not provided,email not provided,27.84774965,-97.57129247602187,few clouds,276,69.69
127,Hôtel Amine فندق الأمين,Smara,Morocco,phone not provided,website not provided,email not provided,26.7412468,-11.676451,clear sky,278,61.07
128,Fairfield Inn & Suites by Marriott,Channelview,United States,phone not provided,website not provided,email not provided,29.7777429,-95.12274983270446,few clouds,279,61.0
129,Comfort Suites,Channelview,United States,+1-281-864-7552,website not provided,email not provided,29.7797793,-95.12295692153644,few clouds,279,61.0
130,Gold store hotel,Masumbwe,Tanzania,phone not provided,website not provided,email not provided,-3.6483962,32.1683577,overcast clouds,288,63.46
131,RAHA LODGE,Katente,Tanzania,phone not provided,website not provided,email not provided,-3.4692164500000002,31.899226495348067,overcast clouds,288,63.46
132,RAHA LODGE,La Manzanilla,Mexico,phone not provided,website not provided,email not provided,19.2878423,-104.7894024,clear sky,297,71.46
133,Boca de Iguanas,La Huerta,Mexico,[+521] (314) 103-4550,http://bocadeiguanas.com/,http://bocadeiguanas.com/,19.3078873,-104.8191267,clear sky,297,71.46
134,Kalya Hotel,Makutano,Kenya,phone not provided,website not provided,email not provided,1.2594435,35.0983425,overcast clouds,301,59.02
135,Bridgestone Inn,Kitale,Kenya,phone not provided,website not provided,email not provided,1.0275485,35.0251834,overcast clouds,301,59.02
136,Hong Chau Nha Nhgi,Hà Tĩnh,Vietnam,phone not provided,website not provided,email not provided,18.3366189,105.8975225,overcast clouds,302,64.54
137,Đại Bàng 3,Hà Tĩnh,Vietnam,phone not provided,website not provided,email not provided,18.3283444,105.9043682,overcast clouds,302,64.54
138,KEKOVA OTEL,Kaş,Turkey,phone not provided,website not provided,email not provided,36.2024833,29.638493,clear sky,306,59.5
139,neva,Kaş,Turkey,phone not provided,website not provided,email not provided,36.2019876,29.638868,clear sky,306,59.5
140,Hotel Castelo,Cidreira,Brazil,phone not provided,website not provided,email not provided,-30.1779575,-50.2034734,clear sky,312,70.0
141,Lagoa Country Club,Cidreira,Brazil,phone not provided,https://www.facebook.com/lagoacidreira/,https://www.facebook.com/lagoacidreira/,-30.168685,-50.2557387,clear sky,312,70.0
142,Lagoa Country Club,Mutare,Zimbabwe,phone not provided,website not provided,email not provided,-18.90595935,32.690537431376846,moderate rain,317,61.84
143,Wise Owl Motel,Mutare,Zimbabwe,phone not provided,website not provided,email not provided,-18.95259905,32.65519575268845,moderate rain,317,61.84
144,Mường Thanh Luxury Song Lam Hotel,Vinh,Vietnam,phone not provided,website not provided,email not provided,18.6680204,105.6737567,overcast clouds,318,63.7
145,Sai gon Kim Lien,Vinh,Vietnam,phone not provided,website not provided,email not provided,18.6709665,105.6739416,overcast clouds,318,63.7
146,Bagofit Sun City,Abong-Mbang,Cameroon,660805070,https://www.bagofitsuncity.com/,https://www.bagofitsuncity.com/,4.0120601,13.1019797,overcast clouds,319,69.04
147,Hoedjesbaai,Saldanha Bay Local Municipality,South Africa,phone not provided,website not provided,email not provided,-33.00784295,17.946017290974016,overcast clouds,324,68.05
148,Jane's Guesthouse,Saldanha Bay Local Municipality,South Africa,phone not provided,website not provided,email not provided,-33.0035239,17.9477579,overcast clouds,324,68.05
149,Scenic Hotel Dunedin City,Dunedin,New Zealand,phone not provided,https://www.scenichotelgroup.co.nz/,https://www.scenichotelgroup.co.nz/,-45.8762284,170.5025528,broken clouds,328,58.59
150,The Law Courts Hotel,Dunedin,New Zealand,phone not provided,website not provided,email not provided,-45.8751496,170.5066466,broken clouds,328,58.59
151,স্মৃতি রেস্ট হাউজ,Nageshwari,Bangladesh,phone not provided,website not provided,email not provided,25.9654683,89.6917544,clear sky,332,64.09
152,Mita Rest House মিতা বিশ্রাম হাউস,Kurigram,Bangladesh,phone not provided,website not provided,email not provided,25.8172591,89.650004,clear sky,332,64.09
153,La Llegada,Andamarca,Peru,phone not provided,website not provided,email not provided,-12.0765071,-75.3351911,overcast clouds,334,55.85
154,Latidas Hotel,El Tambo,Peru,phone not provided,website not provided,email not provided,-12.04930585,-75.22857050917202,overcast clouds,334,55.85
155,Sueño del Rey,Padre Márquez,Peru,phone not provided,website not provided,email not provided,-7.7577903,-74.9221159,overcast clouds,336,70.72
156,Hôtel Bassar,Bikpassiba,Togo,+22890481028,website not provided,email not provided,9.2571463,0.7769007,clear sky,337,69.94
157,Auberge Délice,Bassar,Togo,phone not provided,website not provided,email not provided,9.2661882,0.7854554,clear sky,337,69.94
158,Protea Hotel Mossel Bay,Mossel Bay Local Municipality,South Africa,phone not provided,website not provided,email not provided,-34.1799317,22.1428703,overcast clouds,340,58.93
159,Munro Manor Guest House,Mossel Bay Local Municipality,South Africa,phone not provided,website not provided,email not provided,-34.1805007,22.1385348,overcast clouds,340,58.93
160,Airborne Inn Lodging,Hammond Hills,United States,phone not provided,website not provided,email not provided,35.1292068,-78.9980524,broken clouds,347,63.19
161,IHG Army Hotels in Forrestal Hall & Delmont House,Hammond Hills,United States,phone not provided,website not provided,email not provided,35.1290538,-78.9966132,broken clouds,347,63.19
162,Eridanus,Athens,Greece,phone not provided,website not provided,email not provided,37.9799848,23.7183551,clear sky,363,56.37
163,The House,Athens,Greece,+302103457765,https://thehouseathens.com/,https://thehouseathens.com/,37.9797721,23.7135552,clear sky,363,56.37
164,Kainantu Lodge,Kainantu,Papua New Guinea,+6753731020,website not provided,email not provided,-6.28664725,145.8646633769186,overcast clouds,365,71.01
165,大新旅館,Choshi,Japan,phone not provided,website not provided,email not provided,35.7344474,140.8323632,overcast clouds,374,50.29
166,あけぼの旅館,Choshi,Japan,phone not provided,website not provided,email not provided,35.735397,140.8300443,overcast clouds,374,50.29
167,Cabañas Cascadas Encantadas,Tres Lunas,Mexico,(+52) 55 8920 2780,https://cabanascascadasencantadas.com/como-llegar/,https://cabanascascadasencantadas.com/como-llegar/,18.3687467,-95.0261807,overcast clouds,376,70.75
168,...,El Freno,Mexico,phone not provided,website not provided,email not provided,18.3924089,-95.0116072,overcast clouds,376,70.75
169,Hospedaje Eco,Lagunas,Peru,+51 65 503703;+51 971831799,website not provided,email not provided,-5.2256765,-75.6750558,overcast clouds,380,71.42
170,Hospedaje Lagunas,Lagunas,Peru,+51 65 503783,website not provided,email not provided,-5.2255191,-75.6753379,overcast clouds,380,71.42
171,Atlantic,Walvis Bay,Namibia,phone not provided,website not provided,email not provided,-22.9566597,14.5012482,clear sky,384,65.35
172,Protea Hotel Walvis Bay,Walvis Bay,Namibia,phone not provided,website not provided,email not provided,-22.9575375,14.4999821,clear sky,384,65.35
173,Hotel Temático do Banco Azul,Fisterra,Spain,phone not provided,https://hoteldobancoazul.com,https://hoteldobancoazul.com,42.9056686,-9.2618248,light rain,389,56.75
174,Hotel Costa da Morte,Fisterra,Spain,+34 981192543,https://www.hotelcostadamorte.net,https://www.hotelcostadamorte.net,42.9053487,-9.2644037,light rain,389,56.75
175,Casa da Madrinha,São Mateus,Portugal,phone not provided,website not provided,email not provided,39.0472521,-27.9793933,scattered clouds,391,59.2
176,Moinho de Pedra,São Mateus,Portugal,phone not provided,website not provided,email not provided,39.0555446,-27.9702982,scattered clouds,391,59.2
177,Hotel Agamenon,es Castell,Spain,phone not provided,website not provided,email not provided,39.8827242,4.2863669,few clouds,396,54.28
178,Hotel Agamenon,es Castell,Spain,phone not provided,https://www.sethotels.com/es/hotel-agamenon-menorca.php,https://www.sethotels.com/es/hotel-agamenon-menorca.php,39.88303115,4.286325008059238,few clouds,396,54.28
179,BEST WESTERN Plus Huntersville Inn & Suites Near Lake Norman,Huntersville,United States,phone not provided,website not provided,email not provided,35.406091599999996,-80.85329594574134,overcast clouds,399,57.31
180,Comfort Suites Lake Norman - Huntersville,Huntersville,United States,phone not provided,website not provided,email not provided,35.41495405,-80.85457776437147,overcast clouds,399,57.31
181,Hotel Shiva,Bhagalpur,India,phone not provided,website not provided,email not provided,25.2426394,86.9751369,clear sky,405,61.02
182,La Portada,Pisco,Peru,phone not provided,website not provided,email not provided,-13.707727,-76.2052654,overcast clouds,406,70.56
183,La Hosteria del Monasterio,Pisco,Peru,phone not provided,website not provided,email not provided,-13.7093714,-76.2057197,overcast clouds,406,70.56
184,Durrant House Hotel,Torridge District,United Kingdom,phone not provided,https://durranthousehotel.com/,https://durranthousehotel.com/,51.0337962,-4.211917193162417,few clouds,408,52.39
185,Riversford Hotel,Torridge District,United Kingdom,phone not provided,http://www.riversford.co.uk/,http://www.riversford.co.uk/,51.0315669,-4.205734700596829,few clouds,408,52.39
186,Amanpuri Travellers Lodge,Swakopmund,Namibia,phone not provided,website not provided,email not provided,-22.6800584,14.5338308,scattered clouds,409,65.25
187,Sam's Giardino,Swakopmund,Namibia,+264-64-403210,http://www.giardinonamibia.com/,http://www.giardinonamibia.com/,-22.6805326,14.5367303,scattered clouds,409,65.25
188,Ghanzi farmhouse,D'kar,Botswana,+267 74960192,http://ghanzifarmhouse.com/,http://ghanzifarmhouse.com/,-21.5711655,21.7735653,broken clouds,414,69.48
189,Dqae Qare Game Farm,Ghanzi,Botswana,+267 72 527 321,website not provided,email not provided,-21.635365399999998,21.817952788917307,broken clouds,414,69.48
190,Yuzana Aung Motel 1,Sittwe Township,Myanmar,09691188122,website not provided,email not provided,20.1463845,92.9010193,clear sky,416,68.16
191,Yuzana Aung Hotel 2,Sittwe Township,Myanmar,phone not provided,website not provided,email not provided,20.146036,92.9019769,clear sky,416,68.16
192,Milkwood Manor,Bitou Local Municipality,South Africa,+27 44 533 0420,http://www.milkwoodmanor.co.za,http://www.milkwoodmanor.co.za,-34.0501822,23.3759842,overcast clouds,417,64.44
193,Beacon Island Resort,Bitou Local Municipality,South Africa,+27 44 533 1120,http://www.tsogosunhotels.com/resorts/beacon-island/,http://www.tsogosunhotels.com/resorts/beacon-island/,-34.060842,23.37961879130358,overcast clouds,417,64.44
