City Name,Country,City Lat,City Lon,Humidity,Hotel Name,Hotel Address
Milas,TR,37.3164,27.7839,100,Eldehan Otel,"19 Mayıs Bulvarı 1, 48200 Milas, Turkey"
Trujillo,PE,-8.116,-79.03,88,Hostal Ayacucho,"Jirón Ayacucho, Trujillo 13006, Peru"
New Norfolk,AU,-42.7826,147.0587,57,Woodbridge on the Derwent,"Lyell Highway, New Norfolk TAS, Australia"
La Passe,FR,45.5549,-0.8967,81,L'Estuaire,"Avenue de l'Estuaire, 17120 Talmont-sur-Gironde, France"
Mendi,PG,-6.1761,143.6513,82,Kiburu Lodge,"Tari Highway, Southern Highlands, Papua New Guinea"
Saint Lawrence,MT,36.0553,14.204,65,Ta Majsi,"Triq Wied Merill, Saint Lawrence, SLZ 1040, Malta"
Menongue,AO,-14.6585,17.691,86,name not found,"Iaonga, Angola"
Horta,PT,38.5333,-28.6333,82,Azoris Faial Garden - Resort Hotel,"Rua Cônsul Dabney, 9901-856 Horta, Portugal"
Finisterra,ES,42.9049,-9.2629,95,Hotel Temático do Banco Azul,"Rúa Pescadores, 15155 Fisterra, Spain"
Leiston,GB,52.2061,1.5776,82,White Horse Hotel,"Station Road, East Suffolk, IP16 4HD, United Kingdom"
Saint-Pierre,RE,-21.3393,55.4781,46,Tropic Hotel,"Rue Auguste Babet, 97410 Saint-Pierre, France"
Salinas,US,36.6777,-121.6555,66,The Traveler's Hotel,"16, 18 East Gabilan Street, Salinas, CA 93901, United States of America"
Zaghouan,TN,36.4029,10.1429,86,Les Hirondelles,"شارع الأرض, 1121 Zaghouan Governorate, Tunisia"
Gunupur,IN,19.0833,83.8167,84,name not found,address not found
Zalanga,NG,10.6143,10.1765,28,name not found,address not found
Mazara del Vallo,IT,37.6641,12.588,79,Greta Hotel,"Via Finocchiaro Aprile, 107, 91026 Mazara del Vallo TP, Italy"
Kruisfontein,ZA,-34.0033,24.7314,87,name not found,address not found
Saint-Jean-de-Monts,FR,46.7833,-2.0667,82,L'Espadon,"Avenue de la Forêt, 85160 Saint-Jean-de-Monts, France"
Saldanha,ZA,-33.0117,17.9442,82,Hoedjesbaai,"Main Road, Saldanha Bay Ward 3, Saldanha Bay Local Municipality, 7395, South Africa"
El Calafate,AR,-50.3408,-72.2768,47,Hostería Las Avutardas,"Avenida del Libertador 1737, Bahía Redonda, Z9405 El Calafate, Argentina"
Hūn,LY,29.1268,15.9477,36,فندق الهروج,"Omar Al Mukhtar St, Hun, Libya"
Santa Rosalía,MX,27.3167,-112.2833,34,Sol y Mar,"Carretera Loreto-Santa Rosalía, Santa Rosalía, BCS, Mexico"
Vila Franca do Campo,PT,37.7167,-25.4333,67,Vinha d'Areia Beach Hotel,"Rua da Marina, 9680-146 Vila Franca do Campo, Portugal"
Shenjiamen,CN,29.9576,122.298,88,Zhonghan Hotel,"海天大道, 舟山群岛新区, 316100 Zhejiang, China"
Timbuktu,ML,16.7735,-3.0074,11,Hotel La Maison,"Rue Gorbeygna, Timbuktu, Mali"
Santa Ana,US,33.7456,-117.8678,72,Holiday Inn Express,"East 1st Street, Santa Ana, CA 92705, United States of America"
Margate,GB,51.3813,1.3862,79,The Reading Rooms,"31 Hawley Square, Thanet, CT9 1PH, United Kingdom"
Langueux,FR,48.495,-2.7185,84,Campanile,"Rue Blaise Pascal, 22360 Langueux, France"
Victorica,AR,-36.2151,-65.4359,79,Hotel Mazamet,"Calle 15 751, 6319 Victorica, Argentina"
Kabala,SL,9.5833,-11.55,17,name not found,address not found
Port Alfred,ZA,-33.5906,26.891,95,name not found,"Royal Alfred Marina, Ndlambe Local Municipality, 6170, South Africa"
Bogale,MM,16.2833,95.4,72,name not found,address not found
Rosarito,MX,32.3333,-117.0333,66,WorldMark La Paloma,"Boulevard Popotla, 22700 Rosarito, BCN, Mexico"
Bodri,IN,23.1667,81.4333,54,name not found,address not found
Kataba,YE,13.9833,44.3833,50,name not found,address not found
Laguna,US,38.421,-121.4238,80,Holiday Inn Express & Suites,"9175 West Stockton Boulevard, Elk Grove, CA 95758, United States of America"
Codrington,AU,-38.2667,141.9667,81,name not found,address not found
Ishigaki,JP,24.3448,124.1572,100,アートホテル石垣島,"Prefectural Highway Route 208 Ishigaki-Asada Line, Ishigaki, Ishigaki, 907-8501, Japan"
Kabare,CD,-2.4683,28.8242,95,Panorama Hotel,"Boulevard Reine Elisabeth, Bukavu, Democratic Republic of the Congo"
Luau,AO,-10.7073,22.2247,99,name not found,address not found
Harnai,PK,30.1005,67.9374,29,name not found,address not found
Mogador,MA,31.5125,-9.77,62,Essaouira Wind Palace,"Avenue de L'Istiqlal, 44100 Essaouira, Morocco"
Merced,US,37.1666,-120.7516,80,name not found,address not found
Erigavo,SO,10.6162,47.368,79,Sanaag Hotel,"Tabca Road, Erigavo, Somalia"
Ain Sukhna,EG,29.6002,32.3167,89,العين السخنة,"Ain Sokhna, Zaafarana Road, Egypt"
Duki,PK,30.1541,68.5728,31,name not found,address not found
Bukama,CD,-9.2,25.85,99,Mission catholique,"Avenue de la Cite, Bukama, Democratic Republic of the Congo"
Vredendal,ZA,-31.6683,18.5012,66,name not found,address not found
Chui,UY,-33.6971,-53.4616,74,Alerces,"Sargento Francisco de los Santos, 27100 Chuy, Uruguay"
Coquimbo,CL,-29.9533,-71.3436,77,Hotel Iberia,"Lastra 400, 179 0437 Coquimbo, Chile"
Bhadohi,IN,25.4167,82.5667,67,name not found,address not found
Cidreira,BR,-30.1811,-50.2056,71,Hotel Castelo,"Rua Osvaldo Aranha, Cidreira - RS, 95595-000, Brazil"
Stephenville,US,32.2207,-98.2023,53,name not found,"Stephenville, TX 76401, United States of America"
Mugia,ES,43.1041,-9.2179,93,Solpor do Coído,"Rúa Condes de Maceda, 15215 Muxía, Spain"
Rome,US,43.2128,-75.4557,96,Wingate by Wyndham Rome,"90 Dart Circle, City of Rome, NY 13441, United States of America"
Fortuna,US,40.5982,-124.1573,82,Comfort Inn & Suites Redwood Country,"1583 Riverwalk Drive, Fortuna, CA 95540, United States of America"
Bokoro,TD,12.3807,17.0568,22,name not found,address not found
Eastman,US,32.1977,-83.1777,49,name not found,"Eastman, GA 31023, United States of America"
Newman,US,37.3138,-121.0208,63,name not found,address not found
Heyuan,CN,23.7333,114.6833,61,汇景希尔顿逸林酒店,"越王大道, Guangdong Province, China"
Saint-Philippe,RE,-21.3585,55.7679,70,Le Baril,"Route Nationale 2 Baril, 97442 Saint-Philippe, France"
Turan,VN,16.0678,108.2208,100,Thanh Thanh Hotel,"Đường Phan Châu Trinh, Hải Châu District, Đà Nẵng, 50207, Vietnam"
Ataq,YE,14.5377,46.8319,42,الشارقة بلازا,"Al Am Street, `Ataq, Yemen"
Kas,TR,36.2018,29.6377,51,KEKOVA OTEL,"Likya Caddesi, 08750 Kaş, Turkey"
Golāghāt,IN,26.5167,93.9667,76,name not found,address not found
Tortolì,IT,39.9256,9.6572,86,La Corte,"Corso Umberto, 08048 Tortolì OG, Italy"
Antofagasta,CL,-23.65,-70.4,74,Hotel Colón,"José de San Martín, 127 1572 Antofagasta, Chile"
Al Kharj,SA,24.155,47.3346,46,شقق فندقية,"طريق الملك عبد الله, As Sahba', As Sayh 16278, Saudi Arabia"
Timizart,DZ,36.8,4.2667,56,name not found,address not found
Machico,PT,32.7,-16.7667,90,Residence Inn,"Caminho da Bemposta, 9100-222 Machico, Portugal"
Nova Sintra,CV,14.8667,-24.7167,78,Residência Ka Dencho,"Nova Sintra -Nossa Senhora do Monte - Cachaço, 9110-Cova Rodela, Cape Verde"
At Tāj,LY,24.2049,23.2857,56,name not found,address not found
Adrar,MR,20.5022,-10.0711,11,name not found,address not found
Kidal,ML,18.4411,1.4078,14,name not found,address not found
Mwene-Ditu,CD,-7.0,23.45,99,Hôtel KAMAS,"RN40, Mwene-Ditu, Democratic Republic of the Congo"
Richards Bay,ZA,-28.783,32.0377,84,SUN1 Richards Bay,"6 South East Central, Veldenvlei, Richards Bay, 3900, South Africa"
Chachapoyas,PE,-6.2317,-77.869,98,Hostal Karajia,"Jirón Dos de Mayo, Pedro Castro, Chachapoyas 01001, Peru"
Saint-Joseph,RE,-21.3667,55.6167,62,PALM Hotel & Spa,"43 Rue des Mascarins, 97429 Petite-Île, France"
Katsuren-haebaru,JP,26.3369,127.8719,68,name not found,"Okinawa, Teruya 5-chome 904-0011, Japan"
Alpine,US,32.835,-116.7664,56,Ayres Lodge Alpine,"1251 Tavern Road, Alpine, CA 91901, United States of America"
Jieshi,CN,22.8134,115.8257,78,name not found,address not found
Bardai,NG,11.65,7.2333,22,name not found,address not found
Masterton,NZ,-40.9597,175.6575,63,Copthorne Hotel Solway Park,"Driving Range Road, Solway, Masterton 5810, New Zealand"
Yanchep,AU,-31.55,115.6833,66,Yanchep Inn,"Woodlands, Yanchep WA 6035, Australia"
Blythe,US,33.6103,-114.5964,15,Quality Inn,"West Donlon Street, Blythe, CA 92226, United States of America"
Guerrero Negro,MX,27.9769,-114.0611,33,Plaza sal paraiso,"Calle Sergio Noyola N., 23940 Guerrero Negro, BCS, Mexico"
Smiths,US,32.5401,-85.0985,60,name not found,address not found
Taltal,CL,-25.4,-70.4833,74,Hostería Taltal,"Esmeralda, Taltal, Chile"
Pacocha,PE,-17.5833,-71.3333,87,Gran Hotel Ilo,"Avenida Andrés Avelino Cáceres, Pampa Inalambrica, Ilo 18601, Peru"
Thames,NZ,-37.1333,175.5333,67,Kopu Station Hotel,"1 Kopu Road, Kopu 3500, New Zealand"
Bāqa el Gharbīya,IL,32.4181,35.0431,75,اسكانات الصيداوي,"Illar - Seida, 072 Ilar, Palestinian Territory"
Río Gallegos,AR,-51.6226,-69.2181,28,Amérian Río Gallegos Apart & Suites,"Avenida General José de San Martín 673, Zona Centro, 9400 Río Gallegos, Argentina"
Lata,PT,40.1629,-8.3327,85,Residencial Botânico,"Rua dos Combatentes da Grande Guerra 15, 3030-181 Coimbra, Portugal"
Morehead City,US,34.7229,-76.726,86,"Bask Hotel Big Rock Landing, Trademark Collection by Wyndham","814 Shepard Street, Morehead City, NC 28557, United States of America"
Tougue,GN,11.4667,-11.6,15,name not found,address not found
Fort Bragg,US,35.139,-79.006,90,Airborne Inn Lodging,"Bastogne Drive, Hammond Hills, NC 28310, United States of America"
Djibo,BF,14.1022,-1.6306,13,name not found,"Djibo, Soum, Sahel, Burkina Faso"
Gwadar,PK,25.1216,62.3254,75,Sadaf Resorts,"بلوار غربی, Gwadar, Pakistan"
Pampas,PE,-12.4,-74.9,85,Hotel Plaza,"Jirón Grau, Pampas 09000, Peru"
